team_1,team_2,POM_dif,SAG_dif,MOR_dif,DOK_dif,result
1135,1162,7,-23,47,-11,1
1404,1287,81,138,35,124,1
1249,1349,30,75,-8,60,1
1254,1384,26,36,25,42,1
1426,1407,33,47,22,32,1
1458,1303,322,318,321,327,1
1324,1132,9,39,13,-38,1
1221,1298,-87,-89,-110,-81,1
1326,1353,195,169,145,220,1
1358,1249,164,163,216,130,1
1199,1274,112,90,113,83,1
1266,1166,-22,-21,-19,-18,1
1454,1464,60,35,75,41,1
1437,1390,120,92,66,59,1
1236,1442,94,91,75,69,1
1120,1316,175,182,178,193,1
1352,1383,-10,-30,-52,-3,1
1281,1280,5,-14,-60,-13,1
1365,1363,72,-66,1,7,1
1424,1129,-26,-18,-15,-12,1
1246,1125,70,61,75,59,1
1428,1236,170,154,207,141,1
1459,1204,50,57,108,23,1
1208,1196,-10,-8,-23,-18,1
1144,1255,64,5,42,45,1
1431,1176,43,46,-19,12,1
1158,1168,2,-19,160,25,1
1331,1223,167,176,130,196,1
1310,1172,-62,-12,-81,-81,1
1225,1340,45,33,2,13,1
1216,1306,-43,-37,-65,-56,1
1438,1439,41,61,30,35,1
1160,1275,27,37,48,18,1
1184,1293,118,63,-63,72,1
1451,1179,55,9,-13,-20,1
1185,1296,55,38,50,55,1
1427,1394,-34,-24,-47,-9,1
1137,1271,166,141,146,180,1
1193,1351,94,123,78,120,1
1439,1448,-75,-60,-36,-59,1
1190,1273,98,112,96,110,1
1244,1273,12,-7,25,-6,1
1155,1120,-3,9,2,-8,1
1158,1204,-39,-71,-64,-58,1
1407,1419,93,73,53,56,1
1106,1411,4,-57,6,-8,1
1222,1416,74,73,38,90,1
1279,1104,22,33,17,26,1
1388,1258,145,196,142,162,1
1443,1349,94,111,83,133,1
1186,1294,78,69,111,99,1
1171,1135,-79,-49,14,-32,1
1436,1373,-34,-53,14,-46,1
1268,1336,73,75,28,67,1
1414,1365,-7,-33,-49,-52,1
1387,1434,111,101,140,56,1
1325,1103,-16,-48,-33,4,1
1222,1349,202,223,157,223,1
1348,1173,-97,-106,-85,-107,1
1398,1240,-42,-43,-36,-85,1
1414,1218,68,64,-2,69,1
1120,1279,10,7,24,11,1
1425,1168,219,122,195,132,1
1225,1201,-162,-181,-176,-172,1
1278,1350,45,43,33,47,1
1157,1154,143,214,178,154,1
1160,1161,55,65,8,42,1
1246,1243,-20,-41,-12,3,1
1259,1406,198,187,209,150,1
1326,1234,70,118,88,94,1
1306,1107,-119,-117,-88,-124,1
1193,1377,59,32,21,-8,1
1319,1455,-25,3,-34,1,1
1434,1460,70,79,53,69,1
1318,1423,-2,-4,4,-4,1
1178,1141,-27,-12,-14,-18,1
1130,1376,-19,-29,-22,-24,1
1365,1369,174,203,104,166,1
1238,1108,49,59,51,54,1
1106,1108,38,24,7,30,1
1155,1210,21,-10,58,-3,1
1190,1273,121,90,118,100,1
1420,1107,-42,-3,4,-48,1
1424,1168,148,153,189,141,1
1346,1383,64,70,70,62,1
1388,1337,191,204,215,188,1
1341,1366,2,7,2,5,1
1336,1304,-3,-22,-24,-25,1
1137,1250,-41,-20,14,-39,1
1442,1282,-43,-44,-28,-31,1
1167,1169,-22,37,-31,12,1
1335,1298,30,-10,-23,28,1
1450,1411,119,122,111,138,1
1299,1214,-37,-54,-45,-35,1
1402,1358,-136,-149,-128,-142,1
1371,1139,-37,-31,-37,-30,1
1285,1415,123,103,77,124,1
1314,1339,292,276,302,227,1
1462,1268,5,10,15,12,1
1346,1107,46,-8,13,-43,1
1433,1206,81,127,154,149,1
1326,1276,-4,-2,-5,-19,1
1290,1105,-17,-43,-13,-11,1
1199,1274,-90,-112,-41,-67,1
1444,1405,-66,-70,-66,-84,1
1314,1245,44,53,67,38,1
1385,1158,44,75,44,28,1
1370,1152,54,59,91,44,1
1293,1369,187,192,209,180,1
1113,1449,-19,-5,-17,-5,1
1273,1441,-122,-135,-130,-99,1
1398,1188,192,188,116,174,1
1235,1395,14,16,28,13,1
1206,1233,-120,-174,-71,-150,1
1190,1273,16,45,30,35,1
1269,1200,117,175,220,203,1
1276,1257,-15,-16,-11,-14,1
1440,1406,-12,19,-12,36,1
1458,1313,285,281,234,281,1
1212,1290,47,46,42,37,1
1198,1150,-9,9,-42,2,1
1205,1122,69,18,96,110,1
1390,1333,49,48,55,75,1
1443,1309,82,60,72,64,1
1226,1186,72,42,46,67,1
1255,1167,22,2,-29,2,1
1353,1263,214,239,183,221,1
1416,1187,84,57,54,64,1
1305,1102,134,132,109,123,1
1258,1387,-145,-178,-123,-159,1
1300,1290,208,196,211,218,1
1454,1453,-127,-109,-134,-119,1
1102,1410,196,223,236,193,1
1322,1402,256,246,169,239,1
1291,1352,-80,-53,-31,-59,1
1197,1106,72,27,27,20,1
1196,1397,62,46,28,59,1
1311,1372,-137,-140,-66,-108,1
1412,1187,-1,16,27,11,1
1326,1359,131,263,224,250,1
1202,1154,72,81,45,79,1
1227,1361,32,32,-63,30,1
1156,1418,204,145,114,108,1
1380,1108,63,61,66,41,1
1415,1142,-184,-165,-129,-165,1
1451,1170,184,178,187,172,1
1209,1423,-60,-60,-14,-57,1
1374,1175,301,309,306,293,1
1266,1166,-28,-35,-29,-24,1
1440,1151,-273,-248,-210,-266,1
1249,1427,3,43,30,36,1
1436,1318,-14,12,35,14,1
1316,1252,-111,-85,-97,-102,1
1260,1179,140,143,151,145,1
1460,1410,148,149,128,106,1
1140,1461,192,217,193,205,1
1138,1103,-36,-31,-38,-42,1
1401,1261,-113,-94,-102,-103,1
1382,1182,35,64,113,97,1
1332,1411,181,155,211,175,1
1434,1453,108,94,111,103,1
1388,1179,78,35,57,30,1
1317,1117,118,131,110,125,1
1216,1392,28,22,40,13,1
1467,1357,35,35,2,140,1
1377,1295,-85,-84,-109,-71,1
1342,1354,100,101,157,85,1
1420,1127,73,90,65,95,1
1143,1343,125,162,90,124,1
1453,1464,89,111,84,51,1
1366,1354,-1,-2,-7,-5,1
1436,1263,45,3,80,27,1
1190,1297,79,64,13,73,1
1222,1305,48,37,43,-19,1
1417,1425,-18,24,-9,-21,1
1439,1162,161,223,271,234,1
1138,1275,196,241,142,162,1
1234,1304,118,95,101,82,1
1377,1331,100,93,101,161,1
1287,1369,142,142,73,99,1
1400,1452,7,1,38,3,1
1281,1397,-27,-4,-21,-15,1
1145,1193,-112,-97,-117,-103,1
1258,1360,-42,-51,-26,-41,1
1225,1315,70,89,35,29,1
1421,1367,162,120,149,113,1
1125,1205,136,161,151,143,1
1233,1264,84,92,96,115,1
1417,1113,145,214,141,203,1
1175,1144,-34,-54,-7,-6,1
1295,1236,-11,-10,-43,3,1
1249,1311,39,43,45,7,1
1332,1417,-26,-15,-38,-28,1
1281,1401,119,158,96,140,1
1124,1304,-24,20,13,11,1
1379,1120,19,12,-76,1,1
1146,1368,29,27,25,24,1
1135,1263,-35,-1,-21,-15,1
1452,1322,56,66,101,82,1
1328,1235,58,43,58,67,1
1458,1304,146,107,89,125,1
1277,1234,-1,1,1,-1,1
1406,1158,-49,-24,-2,-47,1
1180,1343,33,11,50,30,1
1158,1189,132,186,127,165,1
1387,1382,74,92,100,80,1
1367,1244,52,38,-4,26,1
1451,1226,58,67,135,41,1
1119,1205,121,107,85,72,1
1163,1337,140,113,123,130,1
1170,1315,-14,-29,-29,-24,1
1202,1172,43,57,47,51,1
1278,1416,-165,-69,-22,-84,1
1357,1284,118,91,118,120,1
1228,1336,33,21,19,32,1
1352,1233,-258,-61,12,-70,1
1438,1288,326,306,270,305,1
1321,1254,127,83,129,105,1
1155,1210,83,104,70,83,1
1176,1377,-11,-9,12,63,1
1393,1130,26,26,14,41,1
1201,1142,49,-19,142,36,1
1392,1127,265,232,200,261,1
1404,1122,-111,-102,-106,-103,1
1224,1313,-26,-17,-10,-13,1
1453,1464,125,140,127,149,1
1280,1459,59,43,11,48,1
1239,1244,46,32,91,41,1
1155,1356,182,177,167,185,1
1242,1143,67,67,47,95,1
1103,1132,-7,-1,-2,-15,1
1361,1214,-17,108,238,121,1
1401,1140,-34,-23,-9,-38,1
1381,1294,-104,-108,-120,-73,1
1245,1260,45,41,54,47,1
1285,1294,79,79,42,103,1
1330,1323,5,-4,-26,-21,1
1243,1452,15,18,5,20,1
1107,1262,36,49,-40,44,1
1267,1416,-60,-63,-29,-78,1
1116,1173,17,23,33,71,1
1323,1338,-22,-24,-12,-8,1
1412,1431,-18,7,-20,26,1
1234,1164,240,241,264,200,1
1453,1227,-37,-35,-12,-28,1
1457,1251,97,84,99,87,1
1285,1286,122,130,128,127,1
1398,1175,76,83,100,93,1
1326,1345,6,9,3,13,1
1343,1245,91,59,37,47,1
1181,1210,127,120,89,121,1
1344,1274,-55,-54,13,-58,1
1382,1387,15,50,-3,11,1
1324,1236,108,103,90,97,1
1438,1459,74,75,162,88,1
1290,1106,-22,-43,-25,-27,1
1176,1415,-46,-55,-50,-90,1
1284,1351,-59,-40,-47,-48,1
1202,1273,57,61,55,22,1
1437,1207,73,63,65,56,1
1276,1228,-35,-37,-33,-37,1
1285,1225,68,54,55,22,1
1363,1427,-91,-165,-52,-133,1
1355,1331,190,171,138,187,1
1426,1394,138,170,58,153,1
1190,1422,113,123,46,102,1
1277,1231,46,78,59,47,1
1365,1142,150,171,166,188,1
1252,1316,-95,-97,-139,-77,1
1222,1250,6,40,-12,-53,1
1371,1433,-12,-15,28,-10,1
1246,1397,40,24,43,35,1
1162,1165,40,65,-8,72,1
1208,1149,234,236,235,201,1
1220,1330,-30,-46,-32,-38,1
1329,1117,182,179,173,169,1
1183,1240,-137,-226,-122,-204,1
1443,1431,67,88,116,60,1
1295,1137,57,77,70,75,1
1139,1326,-45,-20,-29,-55,1
1453,1399,197,176,175,134,1
1298,1427,-13,32,144,-4,1
1435,1196,-29,-29,-32,-69,1
1455,1404,239,123,140,181,1
1426,1431,-6,15,-63,26,1
1378,1360,95,35,64,95,1
1295,1464,11,-22,-25,-46,1
1370,1413,82,73,58,68,1
1144,1457,-153,-107,-150,-128,1
1257,1266,14,12,9,17,1
1368,1380,214,202,149,188,1
1152,1282,-63,-37,-10,-31,1
1375,1402,-105,-72,-86,-83,1
1197,1354,78,68,79,81,1
1305,1363,109,98,102,103,1
1303,1331,42,36,14,36,1
1153,1323,18,35,1,27,1
1219,1205,68,50,60,97,1
1167,1360,-35,-8,-94,-10,1
1457,1157,183,158,154,147,1
1157,1347,218,245,203,222,1
1385,1371,25,7,12,23,1
1373,1346,-18,-18,114,-24,1
1380,1290,131,104,45,97,1
1228,1227,116,140,151,120,1
1290,1212,17,13,25,10,1
1136,1346,29,70,-42,68,1
1196,1208,27,25,26,28,1
1417,1413,287,251,293,265,1
1112,1242,-3,-4,60,-6,1
1419,1238,137,103,125,114,1
1236,1381,54,104,107,127,1
1210,1299,215,230,247,219,1
1307,1424,31,5,21,1,1
1394,1309,22,1,-2,11,1
1254,1148,-15,14,8,17,1
1166,1455,93,115,78,104,1
1456,1423,106,95,109,117,1
1239,1367,-207,-197,-180,-208,1
1437,1177,40,51,36,54,1
1111,1378,68,58,47,67,1
1310,1346,49,6,25,47,1
1433,1423,107,100,114,111,1
1403,1400,-42,-32,-42,-37,1
1366,1126,-42,-41,-122,-29,1
1175,1267,-124,-50,-151,-85,1
1104,1238,133,105,273,127,1
1262,1263,33,29,66,29,1
1401,1104,-33,-42,-46,-27,1
1185,1410,45,157,101,55,1
1448,1343,31,32,33,53,1
1218,1413,64,67,87,82,1
1199,1210,28,31,-5,36,1
1374,1435,52,43,61,28,1
1416,1378,217,202,185,192,1
1211,1334,210,194,151,182,1
1104,1246,-61,-55,-12,-59,1
1154,1204,-81,-98,-106,-201,1
1281,1279,-24,1,1,-21,1
1139,1178,76,86,76,88,1
1288,1354,101,130,92,91,1
1177,1142,-56,-34,-26,-60,1
1377,1176,-5,-1,-11,3,1
1295,1169,57,81,110,82,1
1202,1354,289,287,267,294,1
1445,1126,-10,-14,-11,-7,1
1264,1220,188,170,177,133,1
1359,1407,-26,-36,-1,-47,1
1108,1341,28,15,8,23,1
1384,1346,-58,-67,-71,-53,1
1405,1138,88,103,41,125,1
1345,1304,55,60,30,29,1
1160,1414,111,102,119,100,1
1458,1353,124,120,87,134,1
1349,1150,-60,-17,-88,-50,1
1201,1307,24,5,-17,-5,1
1233,1351,4,15,8,34,1
1454,1460,-166,-174,-158,-170,1
1284,1373,-21,-19,-57,-38,1
1339,1363,118,44,183,120,1
1387,1150,87,78,94,85,1
1213,1152,237,234,194,211,1
1260,1178,45,65,10,68,1
1285,1415,220,229,189,242,1
1220,1385,-54,-29,-55,-5,1
1382,1386,-41,-45,-38,-27,1
1320,1133,-7,-20,-8,-28,1
1120,1261,22,28,13,15,1
1375,1407,21,44,14,27,1
1409,1185,209,232,150,209,1
1139,1279,31,1,22,15,1
1324,1464,-12,-22,-30,-15,1
1337,1360,72,68,52,78,1
1405,1460,104,1,69,46,1
1248,1447,-66,-79,-13,-16,1
1314,1301,32,43,49,43,1
1138,1405,-29,-37,15,-58,1
1326,1276,-29,-14,-20,-7,1
1421,1342,159,144,126,153,1
1161,1461,16,-5,-2,-8,1
1322,1270,8,3,29,5,1
1330,1427,191,206,176,213,1
1333,1450,52,51,49,69,1
1355,1442,216,181,165,213,1
1211,1365,153,134,119,139,1
1310,1313,50,57,17,32,1
1228,1234,34,49,-5,28,1
1397,1460,124,116,131,127,1
1159,1221,233,217,246,264,1
1221,1119,134,107,160,88,1
1323,1437,16,22,17,30,1
1425,1449,87,50,47,34,1
1424,1238,153,175,177,188,1
1444,1275,68,75,43,133,1
1157,1342,212,215,167,184,1
1350,1137,191,225,182,196,1
1202,1457,107,101,88,89,1
1203,1182,85,87,84,114,1
1275,1132,97,61,113,83,1
1294,1286,91,94,96,101,1
1199,1443,48,19,17,23,1
1335,1217,22,4,26,21,1
1329,1146,195,189,137,188,1
1143,1333,76,82,59,85,1
1189,1111,17,-71,-49,-59,1
1457,1341,139,155,143,111,1
1285,1170,188,169,149,188,1
1359,1441,178,157,99,122,1
1417,1449,-82,-108,-94,-42,1
1247,1382,-61,-50,-24,-74,1
1234,1236,137,82,122,146,1
1173,1462,-61,-48,-71,-67,1
1154,1265,26,-18,-35,-14,1
1293,1232,158,2,-2,-27,1
1444,1296,142,145,131,141,1
1439,1329,11,4,13,8,1
1228,1276,-31,-39,-85,-26,1
1264,1346,-11,-2,-1,-12,1
1443,1309,181,177,189,183,1
1451,1170,149,128,98,122,1
1370,1438,-198,-226,-182,-200,1
1318,1436,-89,-84,-54,-101,1
1461,1102,33,45,29,57,1
1345,1234,50,42,99,54,1
1150,1418,-38,-69,-44,20,1
1417,1112,3,5,16,9,1
1335,1351,-62,-29,-66,-37,1
1193,1373,59,49,24,66,1
1103,1444,-96,-78,-131,-88,1
1385,1253,80,73,88,63,1
1238,1115,11,4,3,4,1
1424,1218,196,150,167,185,1
1350,1113,32,26,34,33,1
1222,1387,41,-3,40,9,1
1348,1185,121,145,104,130,1
1189,1172,-63,-65,-69,-83,1
1135,1119,30,-11,38,11,1
1165,1171,225,228,194,236,1
1363,1381,129,111,150,79,1
1178,1141,-1,20,-35,30,1
1339,1140,-55,-68,-78,-73,1
1312,1248,-88,-75,-101,-89,1
1241,1330,74,104,1,105,1
1383,1254,-50,-62,-20,-48,1
1173,1279,8,-3,-12,11,1
1396,1462,19,23,15,24,1
1242,1259,248,243,186,223,1
1263,1171,-11,-37,27,-37,1
1248,1159,35,47,26,44,1
1332,1333,70,76,54,60,1
1443,1330,78,68,86,79,1
1373,1259,134,109,100,112,1
1350,1349,64,51,66,51,1
1383,1352,-104,-194,-119,-160,1
1116,1397,-36,-34,-12,-40,1
1376,1246,-130,-119,-120,-120,1
1306,1263,-2,-23,-37,19,1
1274,1316,268,236,224,217,1
1281,1242,-3,-4,-3,-2,1
1384,1383,47,25,-25,14,1
1233,1351,72,75,26,-6,1
1342,1205,-62,-46,-60,-57,1
1313,1271,153,167,119,143,1
1188,1183,-16,-61,-3,-15,1
1207,1257,9,22,-1,3,1
1155,1439,-36,-29,-31,-27,1
1303,1282,-24,-25,-42,-36,1
1216,1107,-46,-50,-55,-31,1
1456,1241,59,56,92,96,1
1124,1380,281,235,268,266,1
1426,1407,54,53,22,43,1
1177,1322,93,83,161,92,1
1279,1280,98,97,87,121,1
1153,1203,36,41,45,55,1
1193,1119,172,201,141,156,1
1228,1234,98,103,65,86,1
1419,1426,-68,-71,-20,-76,1
1260,1179,113,116,85,90,1
1295,1351,52,29,111,-5,1
1157,1114,75,70,92,102,1
1235,1243,17,24,19,20,1
1421,1342,152,153,125,152,1
1348,1433,-112,-74,-86,-85,1
1358,1249,56,3,35,31,1
1246,1257,23,5,-3,21,1
1270,1402,-27,2,-6,-3,1
1190,1151,98,97,53,164,1
1362,1171,163,191,192,137,1
1295,1190,-101,-153,-47,-133,1
1250,1271,257,227,214,247,1
1300,1288,184,166,80,146,1
1392,1194,165,97,211,112,1
1312,1244,164,151,188,142,1
1323,1153,-22,-25,-11,-14,1
1437,1344,57,52,43,67,1
1394,1402,174,223,197,215,1
1332,1228,-46,-47,-53,-41,1
1336,1460,110,52,120,98,1
1436,1306,162,168,116,153,1
1200,1385,-225,-239,-210,-229,1
1420,1291,-45,-50,-40,23,1
1170,1225,-44,-35,4,-6,1
1189,1406,-52,-48,-66,-50,1
1332,1113,-39,-10,-27,-12,1
1199,1274,47,64,40,78,1
1279,1247,205,217,183,192,1
1175,1299,-59,12,-34,-42,1
1424,1458,-45,-24,-25,-28,1
1164,1354,50,35,22,62,1
1181,1210,91,114,77,94,1
1175,1214,53,106,66,105,1
1212,1108,-2,-6,8,3,1
1101,1358,81,53,15,84,1
1382,1200,182,216,242,278,1
1351,1265,128,158,152,118,1
1111,1204,-69,-56,-2,-21,1
1254,1384,84,82,101,88,1
1150,1367,121,149,89,130,1
1217,1135,75,90,77,110,1
1305,1129,-52,-66,-88,-67,1
1124,1120,56,53,55,51,1
1211,1388,44,38,48,41,1
1348,1433,-45,-62,-28,-46,1
1136,1383,41,28,34,60,1
1253,1364,9,-27,-55,-32,1
1352,1284,138,104,146,113,1
1235,1401,74,77,37,69,1
1332,1390,-33,-62,-22,-44,1
1293,1404,30,59,43,49,1
1272,1133,25,32,37,31,1
1321,1247,76,60,51,-1,1
1406,1180,7,-25,-47,26,1
1260,1283,88,91,57,48,1
1126,1299,-51,-23,6,-3,1
1246,1397,108,128,88,100,1
1155,1448,73,38,67,63,1
1346,1148,-8,-13,16,5,1
1345,1447,265,270,206,261,1
1396,1203,147,156,120,155,1
1412,1256,-67,-82,-85,-99,1
1237,1325,-38,-16,-23,23,1
1390,1113,175,161,111,160,1
1362,1360,18,17,30,18,1
1250,1110,73,89,59,76,1
1338,1393,-36,-32,-22,-37,1
1284,1192,-25,-37,-6,-37,1
1422,1151,48,62,32,67,1
1451,1430,-58,-71,1,-66,1
1405,1236,149,149,163,187,1
1417,1332,67,82,25,77,1
1117,1205,-69,-135,-123,-40,1
1272,1408,216,183,216,198,1
1274,1210,-37,-42,-45,-42,1
1425,1160,27,15,18,7,1
1119,1221,90,113,132,85,1
1260,1133,-42,-53,-47,-37,1
1144,1421,122,113,115,125,1
1116,1256,204,218,124,214,1
1339,1381,183,173,201,188,1
1389,1233,2,12,-8,9,1
1222,1409,-16,-9,19,-18,1
1316,1391,-99,-94,-95,-107,1
1426,1111,79,104,60,96,1
1224,1164,7,11,5,7,1
1165,1346,77,50,47,58,1
1219,1255,77,78,90,72,1
1430,1167,-58,-46,-55,-60,1
1267,1182,-113,-120,-106,-120,1
1139,1227,94,83,93,72,1
